Codigo.de.Parcela,Num_indp,N_Familia,N_cientifico,Genero,Epiteto,Cod_HaCr,Diametro
59001,76,FABACEAE,Machaerium capote,Machaerium,capote,SL,53.253820458234
59001,102,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,67.9544801373577
59001,43,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,91.5538493779898
59001,55,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,60.5680798753014
59001,24,SAPINDACEAE,Talisia princeps,Talisia,princeps,A,6.19036715212415
59001,45,CAESALPINIACEAE,Senna dariensis,Senna,dariensis,A,39.3714397330533
59001,26,BURSERACEAE,Protium aracouchini,Protium,aracouchini,A,81.8239086517489
59001,3,APOCYNACEAE,Aspidosperma curranii,Aspidosperma,curranii,A,54.9428805806826
59001,4,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,18.571189333303
59001,5,BURSERACEAE,Protium aracouchini,Protium,aracouchini,A,75.4300573195522
59001,6,OLACACEAE,Minquartia guianensis,Minquartia,guianensis,A,5.18272696853269
59001,14,RUBIACEAE,Psychotria erecta,Psychotria,erecta,A,45.861384702537
59001,17,CONNARACEAE,Rourea adenophora,Rourea,adenophora,A,36.3445099784442
59001,18,RUBIACEAE,Faramea capillipes,Faramea,capillipes,A,29.495118498594
59001,19,BIGNONIACEAE,Memora aspericarpa,Memora,aspericarpa,SL,69.4030217350028
59001,28,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,7.24096510547262
59001,32,RUBIACEAE,Amaioua corymbosa,Amaioua,corymbosa,A,22.0789148309187
59001,34,CECROPIACEAE,Pourouma cecropiifolia,Pourouma,cecropiifolia,A,86.8196603519948
59001,35,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,22.6867388842001
59001,36,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,62.5284729237574
59001,42,CAESALPINIACEAE,Brownea stenantha,Brownea,stenantha,A,89.779416463704
59001,49,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,43.3861964362062
59001,50,ERYTHROXYLACEAE,Erythroxylum citrifolium,Erythroxylum,citrifolium,A,5.45381928342778
59001,53,LACISTEMATACEAE,Lacistema aggregatum,Lacistema,aggregatum,A,7.93519471666367
59001,57,RUBIACEAE,Psychotria poeppigiana,Psychotria,poeppigiana,T,16.3236489192731
59001,59,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,25.4852540329
59001,63,CAESALPINIACEAE,Dialium guianense,Dialium,guianense,A,84.5357332161068
59001,67,FLACOURTIACEAE,Ryania speciosa,Ryania,speciosa,A,94.1661016824001
59001,69,CAPPARACEAE,Capparis baducca,Capparis,baducca,A,24.2931731616299
59001,86,MIMOSACEAE,Mimosa antioquiensis,Mimosa,antioquiensis,SL,19.3612336377606
59002,4,MORACEAE,Ficus insipida,Ficus,insipida,A,51.1722622528734
59002,100,BIGNONIACEAE,Jacaranda copaia,Jacaranda,copaia,A,22.4968098450825
59002,64,BIGNONIACEAE,Jacaranda copaia,Jacaranda,copaia,A,34.7129045832025
59002,88,CAESALPINIACEAE,Peltogyne paniculata,Peltogyne,paniculata,A,41.660844630925
59002,30,MIMOSACEAE,Inga pezizifera,Inga,pezizifera,A,24.5930199505907
59002,91,BIGNONIACEAE,Jacaranda copaia,Jacaranda,copaia,A,38.4279511894063
59002,77,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,83.237527719433
59002,86,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,40.7717464725643
59002,93,MALPIGHIACEAE,Byrsonima arthropoda,Byrsonima,arthropoda,A,44.8321875566164
59002,67,NYCTAGINACEAE,Guapira costaricana,Guapira,costaricana,A,59.1571473590134
59002,98,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,23.1248208862375
59002,83,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,98.1635212397356
59002,85,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,81.3304692869157
59002,90,BIGNONIACEAE,Jacaranda copaia,Jacaranda,copaia,A,8.80460362811007
59002,45,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,28.0642731156513
59002,68,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,4.61448479244967
59002,84,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,16.0740294644454
59002,31,MYRISTICACEAE,Virola flexuosa,Virola,flexuosa,A,26.6771044545507
59002,51,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,47.0188497638096
59002,99,TILIACEAE,Apeiba membranacea,Apeiba,membranacea,A,84.707387514865
59002,80,ANACARDIACEAE,Tapirira guianensis,Tapirira,guianensis,A,84.3061113162488
59002,52,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,4.23915697754662
59002,53,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,69.0145688926299
59002,76,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,6.66359309609969
59002,21,SAPOTACEAE,Pouteria collina,Pouteria,collina,A,66.1788193248025
59002,82,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,49.6117735514691
59002,101,MORACEAE,Helianthostylis sprucei,Helianthostylis,sprucei,A,27.4172904823618
59002,60,CARYOCARACEAE,Caryocar glabrum,Caryocar,glabrum,A,89.7769222033975
59002,87,MORACEAE,Brosimum guianense,Brosimum,guianense,A,69.9871261894206
59002,65,FLACOURTIACEAE,Lindackeria laurina,Lindackeria,laurina,A,59.9449198300218
59002,92,ERYTHROXYLACEAE,Erythroxylum citrifolium,Erythroxylum,citrifolium,A,74.9642063782065
59002,97,RUBIACEAE,Psychotria erecta,Psychotria,erecta,A,29.965274546196
59002,57,MIMOSACEAE,Zygia longifolia,Zygia,longifolia,A,32.0491320077614
59002,20,BORAGINACEAE,Cordia bicolor,Cordia,bicolor,A,57.4812092152176
59002,46,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,34.2418608124466
59002,18,RUBIACEAE,Amaioua corymbosa,Amaioua,corymbosa,A,20.7846320673417
59002,81,MIMOSACEAE,Inga umbellifera,Inga,umbellifera,A,3.69643979676382
59002,78,LECYTHIDACEAE,Eschweilera antioquensis,Eschweilera,antioquensis,A,72.4688711200715
59002,47,MYRISTICACEAE,Virola sebifera,Virola,sebifera,T,72.1888615464052
59002,26,BIGNONIACEAE,Memora aspericarpa,Memora,aspericarpa,SL,60.0574249559784
59002,1,SAPOTACEAE,Pouteria collina,Pouteria,collina,A,96.2012385717993
59002,7,OLACACEAE,Heisteria concinna,Heisteria,concinna,A,72.8095263709088
59002,8,MORACEAE,Helianthostylis sprucei,Helianthostylis,sprucei,A,59.7967233737738
59002,10,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,54.8677746880991
59002,12,MIMOSACEAE,Inga umbellifera,Inga,umbellifera,A,55.0166081483693
59002,13,CONVOLVULACEAE,Maripa nicaraguensis,Maripa,nicaraguensis,SL,23.596603214796
59002,14,CECROPIACEAE,Pourouma cecropiifolia,Pourouma,cecropiifolia,A,11.3401923477535
59002,15,BIGNONIACEAE,Tabebuia chrysantha,Tabebuia,chrysantha,A,32.5042712206753
59002,17,MORACEAE,Helianthostylis sprucei,Helianthostylis,sprucei,A,88.4196663408413
59002,23,RUBIACEAE,Psychotria erecta,Psychotria,erecta,A,97.1573820254872
59002,24,FLACOURTIACEAE,Ryania speciosa,Ryania,speciosa,A,18.4900621965195
59002,27,MELASTOMATACEAE,Clidemia hirta,Clidemia,hirta,A,68.7609051086362
59002,28,FABACEAE,Swartzia santanderensis,Swartzia,santanderensis,A,89.0299078929075
59002,32,SAPINDACEAE,Matayba adenanthera,Matayba,adenanthera,A,78.1078768613492
59002,33,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,83.6190620914338
59002,34,MIMOSACEAE,Inga umbellifera,Inga,umbellifera,A,37.7148999982069
59002,35,SIMAROUBACEAE,Simaba cedron,Simaba,cedron,A,80.5322760763042
59002,37,NYCTAGINACEAE,Guapira costaricana,Guapira,costaricana,A,22.6381278472359
59002,39,FABACEAE,Machaerium capote,Machaerium,capote,SL,12.33158239225
59002,41,CAESALPINIACEAE,Dialium guianense,Dialium,guianense,SL,43.5846465908711
59002,42,MELASTOMATACEAE,Miconia trinervia,Miconia,trinervia,A,18.044081315424
59002,50,ANNONACEAE,Ephedranthus colombianus,Ephedranthus,colombianus,A,97.2566323429922
59002,55,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,43.9164522446599
59002,59,SAPINDACEAE,Talisia princeps,Talisia,princeps,A,61.6664758757188
59002,63,MIMOSACEAE,Mimosa quadrivalvis,Mimosa,quadrivalvis,SL,75.4287532081587
59002,66,RUBIACEAE,Bertiera guianensis,Bertiera,guianensis,T,82.2077599622414
59002,69,ANNONACEAE,Oxandra venezuelana,Oxandra,venezuelana,A,18.8985079874985
59002,71,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,7.65861641129628
59002,74,OCHNACEAE,Ouratea lucens,Ouratea,lucens,A,70.242068532354
59002,89,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,40.9102502738927
59003,5,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,93.6488269007557
59003,1,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,4.85696094829573
59003,79,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,46.4277915352394
59003,40,SIMAROUBACEAE,Simaba cedron,Simaba,cedron,A,29.001505936567
59003,47,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,6.69126760401762
59003,31,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,5.96622864194305
59003,32,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,78.0090603494316
59003,103,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,71.7851124914612
59003,104,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,76.8887911110302
59003,90,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,29.3953518512862
59003,81,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,74.6969747336825
59003,85,LAURACEAE,Aniba perutilis,Aniba,perutilis,A,41.0694962597773
59003,87,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,38.0837077959377
59003,92,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,95.5327902707471
59003,96,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,25.7278419417383
59003,102,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,36.0284940732999
59003,33,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,42.2064760413937
59003,100,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,40.6032126586092
59003,28,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,78.1581247035211
59003,95,SAPINDACEAE,Matayba adenanthera,Matayba,adenanthera,A,28.0876135223855
59003,83,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,21.9862915557981
59003,97,DILLENIACEAE,Doliocarpus dentatus,Doliocarpus,dentatus,SL,62.4994159882604
59003,43,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,83.6191235906681
59003,49,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,88.9254132173449
59003,88,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,5.90748799221334
59003,99,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,48.3201887551241
59003,62,SAPINDACEAE,Matayba adenanthera,Matayba,adenanthera,A,97.7708930816578
59003,15,DILLENIACEAE,Doliocarpus dentatus,Doliocarpus,dentatus,SL,43.3222953423496
59003,16,DILLENIACEAE,Doliocarpus dentatus,Doliocarpus,dentatus,SL,48.2424436422833
59003,36,LAURACEAE,Aniba puchury-minor,Aniba,puchury-minor,A,13.993412419428
59003,93,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,79.2870783076116
59003,101,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,57.1656642564307
59003,34,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,81.0490271285441
59003,94,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,6.72865093294851
59003,44,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,31.7556977344334
59003,64,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,42.5774996909765
59003,46,APOCYNACEAE,Aspidosperma curranii,Aspidosperma,curranii,A,47.2672371466972
59003,50,MELASTOMATACEAE,Mouriri chamissoana,Mouriri,chamissoana,A,66.8340691996972
59003,78,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,64.4824547790873
59003,89,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,51.389768583499
59003,17,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,13.8455632824668
59003,14,APOCYNACEAE,Aspidosperma curranii,Aspidosperma,curranii,A,30.9426132866078
59003,105,APOCYNACEAE,Aspidosperma curranii,Aspidosperma,curranii,A,85.0043169890194
59003,23,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,38.0314067798718
59003,86,BURSERACEAE,Protium aracouchini,Protium,aracouchini,A,98.1984285504903
59003,91,RUBIACEAE,Ladenbergia magnifolia,Ladenbergia,magnifolia,A,23.6143441898302
59003,106,BIGNONIACEAE,Memora aspericarpa,Memora,aspericarpa,SL,71.0127421002417
59003,54,BURSERACEAE,Protium aracouchini,Protium,aracouchini,A,43.1472222068512
59003,80,BURSERACEAE,Protium aracouchini,Protium,aracouchini,A,94.3174866723726
59003,2,APOCYNACEAE,Aspidosperma curranii,Aspidosperma,curranii,A,95.7069227011545
59003,3,DILLENIACEAE,Doliocarpus dentatus,Doliocarpus,dentatus,SL,95.082026788553
59003,4,HIPPOCRATEACEAE,Tontelea ovalifolia,Tontelea,ovalifolia,SL,45.2731727391258
59003,7,CONNARACEAE,Rourea adenophora,Rourea,adenophora,A,9.20500853197939
59003,8,BIGNONIACEAE,Memora aspericarpa,Memora,aspericarpa,SL,89.1231158442924
59003,9,LAURACEAE,Aniba perutilis,Aniba,perutilis,A,71.5823370342811
59003,11,FABACEAE,Ormosia corcovada,Ormosia,corcovada,A,14.7505273184366
59003,18,APOCYNACEAE,Aspidosperma curranii,Aspidosperma,curranii,A,59.8620596590905
59003,21,LAURACEAE,Aniba perutilis,Aniba,perutilis,A,90.0334063900894
59003,22,LECYTHIDACEAE,Eschweilera antioquensis,Eschweilera,antioquensis,A,37.380938907166
59003,26,RUBIACEAE,Psychotria brachybotrya,Psychotria,brachybotrya,A,42.7095144569424
59003,27,MELASTOMATACEAE,Miconia prasina,Miconia,prasina,T,91.1917912198173
59003,29,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,20.2446818334376
59003,30,ANNONACEAE,Xylopia amazonica,Xylopia,amazonica,A,95.3601783837876
59003,37,OCHNACEAE,Ouratea lucens,Ouratea,lucens,A,89.246157174283
59003,38,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,55.2389974289922
59003,39,HIPPOCRATEACEAE,Tontelea ovalifolia,Tontelea,ovalifolia,SL,51.818565674901
59003,41,ELAEOCARPACEAE,Sloanea gracilis,Sloanea,gracilis,A,11.1314344806146
59003,45,MELASTOMATACEAE,Mouriri chamissoana,Mouriri,chamissoana,A,55.6085003454786
59003,48,BURSERACEAE,Protium aracouchini,Protium,aracouchini,A,24.9944109045079
59003,67,CARYOCARACEAE,Caryocar glabrum,Caryocar,glabrum,A,27.9351242056717
59003,68,ERYTHROXYLACEAE,Erythroxylum citrifolium,Erythroxylum,citrifolium,A,64.2208727663887
59003,69,ANACARDIACEAE,Tapirira guianensis,Tapirira,guianensis,A,78.1993065071111
59004,78,ANACARDIACEAE,Tapirira guianensis,Tapirira,guianensis,A,34.1021962820458
59004,83,MIMOSACEAE,Inga pezizifera,Inga,pezizifera,A,85.7190777406422
59004,59,ANNONACEAE,Xylopia discreta,Xylopia,discreta,A,6.09777624394112
59004,86,ANNONACEAE,Xylopia aromatica,Xylopia,aromatica,A,22.5550139870711
59004,25,ANACARDIACEAE,Tapirira guianensis,Tapirira,guianensis,A,73.3956503061205
59004,40,SIMAROUBACEAE,Simaba cedron,Simaba,cedron,A,46.9376924137064
59004,60,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,8.41024761259967
59004,13,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,96.5510390700721
59004,67,ANNONACEAE,Xylopia aromatica,Xylopia,aromatica,A,68.182165145017
59004,84,EUPHORBIACEAE,Conceveiba guianensis,Conceveiba,guianensis,A,50.7692936478933
59004,24,MIMOSACEAE,Inga sertulifera,Inga,sertulifera,A,29.0702667572233
59004,39,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,96.230686717557
59004,95,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,82.6352667075799
59004,90,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,41.2746716657254
59004,32,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,12.807971773419
59004,26,HUMIRIACEAE,Humiriastrum colombianum,Humiriastrum,colombianum,A,71.4086298540005
59004,71,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,5.16798892573067
59004,27,CECROPIACEAE,Pourouma cecropiifolia,Pourouma,cecropiifolia,A,95.7204988642099
59004,82,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,15.0659532316839
59004,66,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,52.8379206788751
59004,70,ANACARDIACEAE,Tapirira guianensis,Tapirira,guianensis,A,7.88231503298651
59004,46,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,31.1537711272241
59004,85,MIMOSACEAE,Inga pezizifera,Inga,pezizifera,A,13.496364818365
59004,88,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,19.5791088848603
59004,61,APOCYNACEAE,Lacmellea floribunda,Lacmellea,floribunda,A,28.499423040763
59004,34,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,5.82569722142924
59004,68,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,57.2086283820142
59004,69,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,29.6368746455099
59004,92,MIMOSACEAE,Abarema jupunba,Abarema,jupunba,A,39.0382601402928
59004,77,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,89.3156140893442
59004,44,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,9.62735888116255
59004,51,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,70.2255241966993
59004,64,MIMOSACEAE,Inga sertulifera,Inga,sertulifera,A,45.5157095823503
59004,53,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,5.49089789933893
59004,81,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,11.8581177744169
59004,65,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,8.05376864469804
59004,38,BIGNONIACEAE,Jacaranda copaia,Jacaranda,copaia,A,94.7400941001843
59004,91,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,79.1903797596822
59004,62,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,20.1828334813466
59004,43,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,81.1309661517233
59004,54,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,70.0476893811139
59004,56,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,22.5844765833613
59004,55,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,76.7062095218404
59004,96,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,99.3714418879514
59004,89,MELASTOMATACEAE,Bellucia axinanthera,Bellucia,axinanthera,A,97.901719556266
59004,79,ERYTHROXYLACEAE,Erythroxylum citrifolium,Erythroxylum,citrifolium,A,21.8589840885005
59004,80,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,68.4205225048944
59004,19,EUPHORBIACEAE,Conceveiba guianensis,Conceveiba,guianensis,A,9.39765519126079
59004,47,CELASTRACEAE,Goupia glabra,Goupia,glabra,A,79.9369750300675
59004,37,MIMOSACEAE,Inga heterophylla,Inga,heterophylla,A,80.8203786456654
59004,21,FLACOURTIACEAE,Casearia javitensis,Casearia,javitensis,A,93.3294446032587
59004,1,CONNARACEAE,Rourea adenophora,Rourea,adenophora,SL,57.2844388938636
59004,5,MIMOSACEAE,Inga heterophylla,Inga,heterophylla,A,3.94652949372942
59004,8,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,T,88.8907644139552
59004,10,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,99.1919990164508
59004,11,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,3.93693579199271
59004,12,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,31.4608059071897
59004,14,MORACEAE,Pseudolmedia laevigata,Pseudolmedia,laevigata,A,69.1755150976921
59004,15,SAPINDACEAE,Matayba adenanthera,Matayba,adenanthera,A,48.5037086045065
59004,17,MELASTOMATACEAE,Miconia trinervia,Miconia,trinervia,A,57.1358544450602
59004,18,DILLENIACEAE,Doliocarpus dentatus,Doliocarpus,dentatus,SL,68.7390041075849
59004,20,BIGNONIACEAE,Memora aspericarpa,Memora,aspericarpa,SL,14.0304632711371
59004,22,MORACEAE,Helicostylis tovarensis,Helicostylis,tovarensis,A,24.832990667751
59004,30,MELASTOMATACEAE,Miconia prasina,Miconia,prasina,A,64.471662727113
59004,48,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,79.567839847031
59004,49,ANNONACEAE,Xylopia discreta,Xylopia,discreta,A,9.75873057408594
59004,50,EUPHORBIACEAE,Aparisthmium cordatum,Aparisthmium,cordatum,A,28.9281526961629
59004,52,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,27.3499922737877
59005,82,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,86.4487697936832
59005,1,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,77.1413638531284
59005,114,LECYTHIDACEAE,Eschweilera antioquensis,Eschweilera,antioquensis,A,97.6874371660682
59005,131,LAURACEAE,Ocotea guianensis,Ocotea,guianensis,A,66.4806378091301
59005,66,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,58.7731369273447
59005,76,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,21.6084080238932
59005,88,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,30.6622885326344
59005,64,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,7.57861085331109
59005,99,ANNONACEAE,Guatteria cargadero,Guatteria,cargadero,A,58.0694915668019
59005,91,MELASTOMATACEAE,Miconia poeppigii,Miconia,poeppigii,A,71.2055848638016
